2e-05;3e-05;0
4e-05;6e-05;0
6e-05;9e-05;0
8e-05;0.00012;0
0.0001;0.00015;0
0.00012;0.00018;0
0.00014;0.00021;0
0.00016;0.00024;0
0.00018;0.00027;0
0.0002;0.0003;0
0.00022;0.00033;0
0.00024;0.00036;0
0.00026;0.00039;0
0.00028;0.00042;0
0.0003;0.00045;0
0.00032;0.00048;0
0.00034;0.00051;0
0.00036;0.00054;0
0.00038;0.00057;0
0.0004;0.0006;0
0.00042;0.00063;0
0.00044;0.00066;0
0.00046;0.00069;0
0.00048;0.00072;0
0.0005;0.00075;0
0.00052;0.00078;0
0.00054;0.00081;0
0.00056;0.00084;0
0.00058;0.00087;0
0.0006;0.0009;0
0.00062;0.00093;0
0.00064;0.00096;0
0.00066;0.00099;0
0.00068;0.00102;0
0.0007;0.00105;0
0.00072;0.00108;0
0.00074;0.00111;0
0.00076;0.00114;0
0.00078;0.00117;0
0.0008;0.0012;0
0.00082;0.00123;0
0.00084;0.00126;0
0.00086;0.00129;0
0.00088;0.00132;0
0.0009;0.00135;0
0.00092;0.00138;0
0.00094;0.00141;0
0.00096;0.00144;0
0.00098;0.00147;0
0.001;0.0015;0
0.00102;0.00153;0
0.00104;0.00156;0
0.00106;0.00159;0
0.00108;0.00162;0
0.0011;0.00165;0
0.00112;0.00168;0
0.00114;0.00171;0
0.00116;0.00174;0
0.00118;0.00177;0
0.0012;0.0018;0
0.00122;0.00183;0
0.00124;0.00186;0
0.00126;0.00189;0
0.00128;0.00192;0
0.0013;0.00195;0
0.00132;0.00198;0
0.00134;0.00201;0
0.00136;0.00204;0
0.00138;0.00207;0
0.0014;0.0021;0
0.00142;0.00213;0
0.00144;0.00216;0
0.00146;0.00219;0
0.00148;0.00222;0
0.0015;0.00225;0
0.00152;0.00228;0
0.00154;0.00231;0
0.00156;0.00234;0
0.00158;0.00237;0
0.0016;0.0024;0
0.00162;0.00243;0
0.00164;0.00246;0
0.00166;0.00249;0
0.00168;0.00252;0
0.0017;0.00255;0
0.00172;0.00258;0
0.00174;0.00261;0
0.00176;0.00264;0
0.00178;0.00267;0
0.0018;0.0027;0
0.00182;0.00273;0
0.00184;0.00276;0
0.00186;0.00279;0
0.00188;0.00282;0
0.0019;0.00285;0
0.00192;0.00288;0
0.00194;0.00291;0
0.00196;0.00294;0
0.00198;0.00297;0
0.002;0.003;0
0.00202;0.00303;0
0.00204;0.00306;0
0.00206;0.00309;0
0.00208;0.00312;0
0.0021;0.00315;0
0.00212;0.00318;0
0.00214;0.00321;0
0.00216;0.00324;0
0.00218;0.00327;0
0.0022;0.0033;0
0.00222;0.00333;0
0.00224;0.00336;0
0.00226;0.00339;0
0.00228;0.00342;0
0.0023;0.00345;0
0.00232;0.00348;0
0.00234;0.00351;0
0.00236;0.00354;0
0.00238;0.00357;0
0.0024;0.0036;0
0.00242;0.00363;0
0.00244;0.00366;0
0.00246;0.00369;0
0.00248;0.00372;0
0.0025;0.00375;0
0.00252;0.00378;0
0.00254;0.00381;0
0.00256;0.00384;0
0.00258;0.00387;0
0.0026;0.0039;0
0.00262;0.00393;0
0.00264;0.00396;0
0.00266;0.00399;0
0.00268;0.00402;0
0.0027;0.00405;0
0.00272;0.00408;0
0.00274;0.00411;0
0.00276;0.00414;0
0.00278;0.00417;0
0.0028;0.0042;0
0.00282;0.00423;0
0.00284;0.00426;0
0.00286;0.00429;0
0.00288;0.00432;0
0.0029;0.00435;0
0.00292;0.00438;0
0.00294;0.00441;0
0.00296;0.00444;0
0.00298;0.00447;0
0.003;0.0045;0
0.00302;0.00453;0
0.00304;0.00456;0
0.00306;0.00459;0
0.00308;0.00462;0
0.0031;0.00465;0
0.00312;0.00468;0
0.00314;0.00471;0
0.00316;0.00474;0
0.00318;0.00477;0
0.0032;0.0048;0
0.00322;0.00483;0
0.00324;0.00486;0
0.00326;0.00489;0
0.00328;0.00492;0
0.0033;0.00495;0
0.00332;0.00498;0
0.00334;0.00501;0
0.00336;0.00504;0
0.00338;0.00507;0
0.0034;0.0051;0
0.00342;0.00513;0
0.00344;0.00516;0
0.00346;0.00519;0
0.00348;0.00522;0
0.0035;0.00525;0
0.00352;0.00528;0
0.00354;0.00531;0
0.00356;0.00534;0
0.00358;0.00537;0
0.0036;0.0054;0
0.00362;0.00543;0
0.00364;0.00546;0
0.00366;0.00549;0
0.00368;0.00552;0
0.0037;0.00555;0
0.00372;0.00558;0
0.00374;0.00561;0
0.00376;0.00564;0
0.00378;0.00567;0
0.0038;0.0057;0
0.00382;0.00573;0
0.00384;0.00576;0
0.00386;0.00579;0
0.00388;0.00582;0
0.0039;0.00585;0
0.00392;0.00588;0
0.00394;0.00591;0
0.00396;0.00594;0
0.00398;0.00597;0
0.004;0.006;0
0.00402;0.00603;0
0.00404;0.00606;0
0.00406;0.00609;0
0.00408;0.00612;0
0.0041;0.00615;0
0.00412;0.00618;0
0.00414;0.00621;0
0.00416;0.00624;0
0.00418;0.00627;0
0.0042;0.0063;0
0.00422;0.00633;0
0.00424;0.00636;0
0.00426;0.00639;0
0.00428;0.00642;0
0.0043;0.00645;0
0.00432;0.00648;0
0.00434;0.00651;0
0.00436;0.00654;0
0.00438;0.00657;0
0.0044;0.0066;0
0.00442;0.00663;0
0.00444;0.00666;0
0.00446;0.00669;0
0.00448;0.00672;0
0.0045;0.00675;0
0.00452;0.00678;0
0.00454;0.00681;0
0.00456;0.00684;0
0.00458;0.00687;0
0.0046;0.0069;0
0.00462;0.00693;0
0.00464;0.00696;0
0.00466;0.00699;0
